H2O2_uM,fold_enhancement,k2_eff_Minv_sinv,t5_seconds,t5_minutes
0.001,1,10.0,5129329.438755058,85488.82397925096
0.0010233717986325214,1,10.0,5012185.645147849,83536.42741913082
0.0010472898382363574,1,10.0,4897717.185333222,81628.61975555371
0.0010717668854455034,1,10.0,4785862.959950418,79764.3826658403
0.0010968160052731402,1,10.0,4676563.265027939,77942.72108379898
0.0011224505680853059,1,10.0,4569759.76011554,76162.66266859233
0.0011486842567375547,1,10.0,4465395.437144029,74423.25728573381
0.0011755310738783677,1,10.0,4363414.589996445,72723.57649994075
0.001203005349423324,1,10.0,4263762.784773872,71062.71307956454
0.001231121748203892,1,10.0,4166386.8307406143,69439.78051234357
0.0012598952777950257,1,10.0,4071234.7519327365,67853.91253221227
0.0012893412965257157,1,10.0,3978255.75941502,66304.262656917
0.0013194755216767086,1,10.0,3887400.2241716613,64790.003736194354
0.0013503140378698722,1,10.0,3798619.650615943,63310.32751026572
0.0013818733056536335,1,10.0,3711866.6507048975,61864.44417841496
0.0014141701702890211,1,10.0,3627094.918645294,60451.58197742156
0.0014472218707411344,1,10.0,3544259.2061770638,59070.98676961773
0.001481046048880677,1,10.0,3463315.2984214276,57721.921640357126
0.0015156607589006013,1,10.0,3384219.9902804536,56403.66650467423
0.0015510844769528404,1,10.0,3306931.06337561,55115.51772292683
0.001587336111010212,1,10.0,3231407.2635131143,53856.78772521857
0.0016244350109588654,1,10.0,3157608.2786638145,52626.80464439691
0.0016624009789266137,1,10.0,3085494.717445959,51424.91195743265
0.0017012542798525857,1,10.0,3015028.0880995146,50250.46813499191
0.0017410156523040153,1,10.0,2946170.777940471,49102.846299007855
0.0017817063195457324,1,10.0,2878886.033284567,47981.43388807611
0.0018233480008684386,1,10.0,2813137.93982938,46885.632330489665
0.001865962923181746,1,10.0,2748891.403484472,45814.8567247412
0.0019095738328781004,1,10.0,2686112.1316394233,44768.53552732372
0.0019542040079740513,1,10.0,2624766.614859571,43746.11024765952
0.001999877270535287,1,10.0,2564822.108999789,42747.03514999649
0.002046617999391994,1,10.0,2506246.61772684,41770.776962114
